S,Feedback,Sentiment
700,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
608,"It is cheap, and it feel and look just as cheap.",0
460,BT50 battery junk!.,0
347,Good audio quality.,1
329,Rip off---- Over charge shipping.,0
819,I would recommend it.,1
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
951,Very much disappointed with this company.,0
482,"After charging overnight, these batteries work great.",1
905,Not nearly as good looking as the AMAZON picture makes it look.,0
199,"useless phone, simply deaf.",0
69,This device is great in several situations:1.),1
770,AFter the first charge kept going dead after 12 minutes.,0
132,Headset works great & was packaged nicely to avoid any damage.,1
289,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
208,Good transmit audio.,1
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
7,If you are Razr owner...you must have this!,1
801,For the price this was a great deal.,1
646,Phone is sturdy as all nokia bar phones are.,1
463,Disappointed!.,0
218,WORST PHONE EVER.,0
602,Those phones are working just fine now.,1
956,Just reading on the specs alone makes you say WOW.,1
562,"All in all, I'm quite satisfied with this purchase.",1
785,This allows the possibility of double booking for the same date and time after the first.,0
889,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
118,It has been a winner for us.,1
812,Battery charge-life is quite long.,1
318,I want my money back.,0
659,"It felt too light and ""tinny."".",0
779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
36,It has kept up very well.,1
175,Superb Phone on a Great Network.,1
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
603,I am more than happy with this product.,1
193,I have had problems wit hit dropping signal and more.,0
549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
790,NOT WHAT I WANTED.,0
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
811,#1 It Works - #2 It is Comfortable.,1
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
975,It is the best charger I have seen on the market yet.,1
1,"Good case, Excellent value.",1
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
474,The delivery was on time.,1
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
281,I love this bluetooth!,1
617,However I needed some better instructions.,0
866,It's been my choice headset for years.Great sound.  good volume.  good noise cancellation.,1
769,Crisp and Clear.,1
758,The sound quality is excellent as well.,1
674,Then I had to continue pairing it periodically since it somehow kept dropping.,0
170,EXCELLENT SERVICE!!!!!!!!.,1
80,I wear it everyday and it holds up very well.,1
636,These are fabulous!,1
984,Adapter does not provide enough charging current.,0
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
826,Not as good as I had hoped.,0
867,"Nice case, feels good in your hands.",1
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
749,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0
917,Leopard Print is wonderfully wild!.,1
416,An Awesome New Look For Fall 2000!.,1
437,Awsome Device Works Great!!.,1
192,Lately they have been extremely nice and helpful on the phone.,1
258,Excellent hands free tool.,1
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
834,"However, the ear pads come off easily and after only one week I lost one.",0
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
607,Sprint charges for this service.,0
863,"I have only had it for a few weeks, but so far, so good.",1
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
467,Very disappointed in AccessoryOne.,0
594,Better Than New.,1
874,Good Quality.,1
380,Great Hands Free Device.,1
784,I don't think it would hold it too securly on your belt.,0
363,"bad fit, way too big.",0
681,camera color balance is AWFUL.,0
663,Its well-designed and very sharp -- the blue is a very nice color.,1
169,One thing I hate is the mode set button at the side.,0
419,The plastic breaks really easy on this clip.,0
995,The screen does get smudged easily because it touches your ear and face.,0
313,Phone now holds charge like it did when it was new.,1
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1
338,"It was an inexpensive piece, but I would still have expected better quality.",0
430,Fantastic earphones.,1
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
32,It is unusable in a moving car at freeway speed.,0
483,You won't regret it!,1
490,This PDA rocks.,1
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
38,The case is great and works fine with the 680.,1
204,Battery lasts only a few hours.,0
219,I'm still infatuated with this phone.,1
629,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
740,I would highly recommend this product.,1
971,Excellent product.,1
593,Easy to use.,1
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
209,We are sending it back.,0
235,One of my favorite purchases ever.,1
464,poor voice clarity.,0
648,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
554,I give Wirefly 1 star.I will contact Cingular/AT&T;  and inform them of this practice,0
183,"I have this phone and it is a thorn in my side, I really abhor it.",0
83,The battery runs down quickly.,0
471,The update procedure is difficult and cumbersome.,0
420,Price is good too.,1
233,Great sound and service.,1
316,We have gotten a lot of compliments on it.,1
587,Also difficult to put on.I'd recommend avoiding this product.,0
394,I highly recommend these and encourage people to give them a try.,1
894,This product is very High quality Chinese CRAP!!!!!!,0
466,No buyers remorse on this one!.,0
798,$50 Down the drain.,0
507,The holster that arrived did not match the photo in the ad.,0
300,Sending it back.,0
527,The noise shield is incrediable.,1
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",0
241,the phone was unusable and was not new.,0
125,Great audio!.,1
645,Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
185,Incredible!.,1
810,Improper description.... I had to return it.,0
100,Integrated seamlessly with the Motorola RAZR phone.,1
909,Seller shipped quickly and much cheaper than the competitors.,1
253,I love all the features and form factor.,1
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
257,Great Earpiece.,1
578,It does everything the description said it would.,1
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
250,"It's fits like a glove and is strong, secure, and durable.",1
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
121,Could not get strong enough signal.,0
862,So far it has worked like a charm.,1
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
944,I does not maintain a connection with the computer while it is on my lap.,0
686,The instructions didn't explain that a microphone jack could be used.,0
838,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0
285,Great phone!.,1
638,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
763,This particular model would not work with my Motorola Q smartphone.,0
613,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
238,I was very excited to get this headset because I thought it was really cute.,1
94,Dont waste your money...,0
248,Internet is excrutiatingly slow.,0
697,It doesn't make you look cool.,0
42,Nice headset priced right.,1
359,"The microphone also works well, but (according to people I have called) it applifies everything.",1
357,"First off the reception sucks, I have never had more than 2 bars, ever.",0
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
51,good protection and does not make phone too bulky.,1
932,[...] down the drain because of a weak snap!,0
358,The phone gets EXTREMELY HOT!,0
406,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
140,What a waste.,0
771,"VERY cheap plastic, creaks like an old wooden floor.",0
876,Excellent dual-purpose headset.,1
13,Very good quality though,1
903,I love being able to use one headset for both by land-line and cell.,1
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0
322,The Ngage is still lacking in earbuds.,0
283,I am very impressed with this headset from Plantronics.,1
473,Great software for Motorolas.,1
96,If you plan to use this in a car forget about it.,0
92,Worked great!.,1
639,Disappointing accessory from a good manufacturer.,0
343,New Battery works great in phone.,1
735,"Provides good protection and looks classy, too.",1
541,I've missed numerous calls because of this reason.,0
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
59,The buttons for on and off are bad.,0
151,"Audio Quality is poor, very poor.",0
656,"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0
50,Not loud enough and doesn't turn on like it should.,0
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
299,Battery life still not long enough in Motorola Razor V3i.,0
182,The sound quality is good and functionality is awesome.,1
832,dont buy it.,0
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
488,"Then I exchanged for the same phone, even that had the same problem.",0
789,I can't use this case because the smell is disgusting.,0
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
774,"Excellent sound, battery life and inconspicuous to boot!.",1
844,It's not what it says it is.,0
713,"jabra ear gels ""R"" the best!.",1
25,Great Pocket PC / phone combination.,1
619,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
30,"This is a simple little phone to use, but the breakage is unacceptible.",0
632,I did not have any problem with this item and would order it again if needed.,1
709,Appears to actually outperform the original battery from China that came with my V325i.,1
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1
799,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0
546,Worst software ever used.... If I could give this zero stars I would.,0
853,These products cover up the important light sensor above the ear outlet.,0
883,WARNING - DO NOT BUY!!.,0
95,Will order from them again!,1
245,Worth every penny.,1
791,I own 2 of these cases and would order another.,1
128,"I've only had my bluetooth for a few weeks, but I really like it.",1
822,I have been very satisfied with this cell phone from day one.,1
732,T-Mobile has the best customer service anywhere.,1
21,I bought this to use with my Kindle Fire and absolutely loved it!,1
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0
119,)Setup couldn't have been simpler.,1
524,Works great!.,1
154,I've bought $5 wired headphones that sound better than these.,0
220,Freezes frequently4.,0
114,Absolutely great.,1
498,Bad Purchase.,0
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
595,"What possesed me to get this junk, I have no idea...",0
514,"very good product, well made.",1
953,It didn't charge for me.,0
162,This is essentially a communications tool that does not communicate.,0
216,I would recommend this.,1
41,I was not impressed by this product.,0
479,I'd like to return it.,0
851,"This is an excellent tool, especially when paired with your phone's auto-answer.",1
898,Everything about this product is wrong.First,0
982,don't waste your money.,0
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
996,What a piece of junk.. I lose more calls on this phone.,0
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",0
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
828,Doesn't Work.,0
734,We have tried 2 units and they both failed within 2 months.. Pros,0
633,You get what you pay for I guess.,0
486,Its not user friendly.,0
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0
265,Battery life is real good.,1
750,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
854,Comfortable in my hand.,1
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0
268,Don't waste your money!.,0
768,Great product.,1
284,I got it because it was so small and adorable.,1
77,This is a great little item.,1
455,Not good when wearing a hat or sunglasses.,0
827,Good case!.,1
428,IT'S REALLY EASY.,1
303,Good price.,1
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
290,Great Phone.,1
379,Soyo technology sucks.,0
962,Also makes it easier to hold on to.,1
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
588,"I only used it two days, and it wasn't always easy to hear with.",0
465,The battery works great!,1
927,"but it is great, i would really recommend it",1
509,"As an earlier review noted, plug in this charger and nothing happens.",0
782,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
56,VERY DISAPPOINTED.,0
350,Were JERKS on the phone.,0
27,I didn't think that the instructions provided were helpful to me.,0
60,Essentially you can forget Microsoft's tech support.,0
529,Razr Battery - Good buy.,1
37,Poor Talk Time Performance.,0
16,I advise EVERYONE DO NOT BE FOOLED!,0
499,WELL IM SATISFIED.,1
402,Excellent product for the price.,1
552,Its a total package.,1
293,DO NOT PURCHASE THIS PHONE.,0
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
113,"Great product, fast shipping!.",1
999,"You can not answer calls with the unit, never worked once!	",0
70,Mic Doesn't work.,0
205,"great headset, very impressed - H500.",1
207,I've had this for nearly 2 years and it has worked great for me.,1
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
877,Excellent!.,1
598,This is a great phone!.,1
837,I don't like this Nokia either.,0
841,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0
655,"No ear loop needed, it's tiny and the sound is great.",1
579,Due to this happening on every call I was forced to stop using this headset.,0
103,The price was very good and with the free shipping and all it was a good purchase.,1
729,After receiving and using the product for just 2 days it broke.,0
676,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
961,I was very impressed with the price of the cases.,1
495,Plug was the wrong size.,0
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
747,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
873,My sister has one also and she loves it.,1
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
260,Good product - incredible value.,1
754,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
807,The reception through this headset is excellent.,1
539,none of the new ones have ever quite worked properly.,0
459,Horrible phone.,0
950,It is a joy to use.,1
422,Oh and I forgot to also mention the weird color effect it has on your phone.,0
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
918,Works for me.,1
725,I have always used corded headsets and the freedom from the wireless is very helpful.,1
321,I ordered this product first and was unhappy with it immediately.,0
649,I'm pleased.,1
997,Item Does Not Match Picture.,0
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
948,nice leather.,1
566,Cumbersome design.,0
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1
55,Everything about it is fine and reasonable for the price i.e.,1
203,The best electronics of the available FM Transmitters.,1
68,Great for iPODs too.,1
601,"The real killer is the volume, and of course it breaking.",0
143,very disappointed.,0
278,"Best of all is the rotating feature, very helpful.",1
712,Poor quality.,0
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
767,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0
718,It was a great phone.,1
934,"You get extra minutes so that you can carry out the call and not get cut off.""",1
239,Do not make the same mistake as me.,0
707,This is cool because most cases are just open there allowing the screen to get all scratched up.,1
589,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
960,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
330,VERY comfortable.,1
519,I am not impressed with this and i would not recommend this item to anyone.,0
815,I checked everywhere and there is no feature for it which is really disappointing.,0
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
679,The volume for the ringer is REAL good (you have choices how loud).,1
621,DO NOT BUY DO NOT BUYIT SUCKS,0
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
352,"Comfortable, Nice Range, Good Battery Life.",1
689,Works well.,1
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
81,Not a good bargain.,0
939,"I like the fact that it rests lightly against your ear, rather than inside.",1
666,Nice Sound.,1
720,"Good value, works fine - power via USB, car, or wall outlet.",1
891,"Fits comfortably, came with three sizes of earbud tips.",1
267,It's a great item.,1
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
373,The worst phone I've ever had.... Only had it for a few months.,0
528,No real improvement.,0
356,The only thing that I think could improve is the sound leaks out from the headset.,0
751,disappointing.,0
641,Very wind-resistant.,1
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
571,This fixes all the problems.,1
672,The first thing that happened was that the tracking was off.,0
163,Works like a charm.  it work the same as the one I got with the phone.,1
452,"My colleague & I now get great reception.A little expensive, but performance is great.",1
624,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
97,I found this product to be waaay too big.,0
269,Love this headset!,1
136,Very good stuff for the price.,1
214,fast service.,1
393,"Excellent product, I am very satisfied with the purchase.",1
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
187,Great phone!.,1
986,You also cannot take pictures with it in the case because the lense is covered.,0
825,The shipping time was also very quick!,1
745,Fantastic buy and will get again for whatever my next phone is,1
788,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1
817,Gets a signal when other Verizon phones won't.,1
445,"I searched the Internet, and found this one to be the best value.",1
878,Does not work for listening to music with the cingular 8125.,0
658,Talk about USELESS customer service.,0
698,"Because both ears are occupied, background is not distracting at all.",1
704,So just beware.,0
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
912,It always cuts out and makes a beep beep beep sound then says signal failed.,0
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
584,Better than expected.,1
683,I love the ringtones because they are so upbeat!,1
780,I am sorry I made this purchase.,0
884,"I am pairing this with my iphone, and I could not be happier with it so far.",1
590,Sprint - terrible customer service.,0
802,"Great price, too!",1
924,Works good.,1
298,Customer service was terrible.,0
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
717,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0
673,"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
585,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
384,Magical Help.,1
714,Not worth it.,0
586,Battery is holding up well.,1
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
292,Excellent Phone.,1
792,Great Phone.,1
53,This phone is pretty sturdy and I've never had any large problems with it.,1
550,"I love the camera, it's really pretty good quality.",1
66,"A week later after I activated it, it suddenly died.",0
431,It finds my cell phone right away when I enter the car.,1
618,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
231,What a big waste of time.,0
577,That company is a joke.,0
980,Echo Problem....Very unsatisfactory,0
963,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1
296,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
449,There's really nothing bad I can say about this headset.,0
925,Motorola finally got the voice quality of a bluetooth headset right.,1
234,Really pleased with this product so far.,1
305,I received it quickly and it works great!!,1
326,"However-the riingtones are not the best, and neither are the games.",0
494,Pretty piece of junk.,0
998,The only thing that disappoint me is the infra red port (irda).,0
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
462,Cant get the software to work with my computer.,0
22,The commercials are the most misleading.,0
165,Great Value.,1
809,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
122,Iam very pleased with my purchase.,1
196,You'll love how thin it is.,1
654,"The charger arrived within the promised timeframe, but it did not work.",0
760,Would not reccommend.,0
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
797,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
